City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Taoudenni,0,ML,1570211393,8,22.68,-3.98,99.62,17.63
Gat,40,SN,1570211393,78,14.69,-16.54,95,6.93
Jamestown,97,AU,1570211393,20,-33.21,138.6,71.9,9.57
Visnes,0,NO,1570211394,49,59.36,5.22,48.2,10.29
Castro Daire,40,PT,1570211394,77,40.9,-7.93,68,8.05
Cape Town,0,ZA,1570211394,63,-33.93,18.42,62.6,6.93
Sao Joao del Rei,75,BR,1570211237,44,-21.14,-44.26,75.2,11.41
San Patricio,46,PY,1570211395,66,-26.98,-56.83,77.48,9.8
Cidreira,100,BR,1570211395,93,-30.17,-50.22,67.22,6.85
Nizhnevartovsk,0,RU,1570211396,69,60.93,76.58,39.2,6.71
Port Elizabeth,40,US,1570211396,38,39.31,-74.98,75.2,14.99
Airai,15,TL,1570211397,79,-8.93,125.41,68.84,4.03
Usinsk,100,RU,1570211397,88,66,57.56,33.2,5.17
Simpang,100,ID,1570211397,96,4.36,96.17,72.8,1.99
Antofagasta,75,CL,1570211398,63,-23.65,-70.4,60.8,14.99
Port Hawkesbury,90,CA,1570211398,81,45.62,-61.36,46.99,6.93
Namibe,20,AO,1570211398,82,-15.19,12.15,67.4,8.16
Saint-Philippe,90,CA,1570211400,66,45.36,-73.48,52,4.7
Lebu,75,ET,1570211401,82,8.96,38.73,60.8,10.29
Ayagoz,0,KZ,1570211401,31,47.96,80.43,42.74,14
Albany,75,US,1570211127,57,42.65,-73.75,57,19.46
Geraldton,5,CA,1570211402,42,49.72,-86.95,46.4,5.82
Butaritari,100,KI,1570211403,87,3.07,172.79,77.66,8.05
Acapulco,75,MX,1570211403,66,16.86,-99.88,86,4.7
Port Alfred,45,ZA,1570211404,85,-33.59,26.89,62.01,1.01
Kamaishi,88,JP,1570211404,98,39.28,141.86,58.58,5.48
Sunndalsora,0,NO,1570211404,52,62.68,8.55,42.8,9.17
Sabha,4,LY,1570211405,27,27.03,14.43,79.46,6.2
Tiznit,68,MA,1570211405,79,29.7,-9.73,69.92,9.62
Ucluelet,75,CA,1570211406,76,48.94,-125.55,55,2.24
Kita,75,JP,1570211406,57,35.76,139.74,82,12.75
Howard Springs,84,AU,1570211497,78,-12.5,131.05,78.8,5.82
Georgetown,40,GY,1570211497,55,6.8,-58.16,91.4,13.87
Xichang,100,CN,1570211498,95,27.88,102.25,54.44,3.56
Burgeo,100,CA,1570211498,63,47.61,-57.61,46.88,9.66
Bilma,24,NE,1570211499,12,18.69,12.92,96.38,8.88
Meulaboh,97,ID,1570211500,73,4.14,96.13,81.44,4.45
Iquitos,40,PE,1570211501,70,-3.75,-73.25,87.8,8.05
Te Anau,84,NZ,1570211501,78,-45.41,167.72,37.88,6.38
Nome,1,US,1570211501,55,30.04,-94.42,91.99,4.7
Joplin,90,US,1570211502,68,37.08,-94.51,73,9.17
Victoria,75,BN,1570211410,88,5.28,115.24,77,1.12
Staryy Nadym,90,RU,1570211503,80,65.61,72.68,34.82,14.03
Ketchikan,90,US,1570211503,87,55.34,-131.65,51.8,3.36
Perth,20,AU,1570211503,82,-31.95,115.86,61,11.41
Narsaq,75,GL,1570211505,26,60.91,-46.05,57.2,26.4
Adre,100,TD,1570211505,83,13.47,22.2,72.44,7.7
Hasaki,20,JP,1570211506,83,35.73,140.83,73.4,3.36
Kudahuvadhoo,100,MV,1570211506,69,2.67,72.89,82.52,3.98
Keti Bandar,0,PK,1570211507,77,24.14,67.45,81.98,10.4
Torbay,90,CA,1570211344,48,47.66,-52.73,46.99,13.87
Tynda,75,RU,1570211507,77,55.15,124.74,27.08,2.84
Matara,0,BI,1570211508,73,-3.48,29.48,54.62,4.12
Kalmunai,38,LK,1570211508,88,7.42,81.82,75.86,2.91
Longyearbyen,75,NO,1570211508,74,78.22,15.63,33.8,3.36
Hilo,1,US,1570211509,78,19.71,-155.08,75.99,5.82
Upington,0,ZA,1570211509,11,-28.46,21.24,73.4,3.36
Mana,42,NG,1570211511,39,13.03,5.27,89.9,5.48
Savelugu,35,GH,1570211511,69,9.63,-0.83,83.24,3.91
Rodez,75,FR,1570211511,82,44.35,2.57,57.2,10.29
Pilar,90,AR,1570211395,100,-34.46,-58.91,59,8.05
Daman,0,IN,1570211512,76,20.42,72.83,83.24,7.61
Port Macquarie,90,AU,1570211513,77,-31.43,152.91,64.4,11.41
Carnarvon,3,ZA,1570211513,9,-30.97,22.13,63.8,8.34
Lac du Bonnet,8,CA,1570211513,75,50.25,-96.06,45,3
San Cristobal,45,HN,1570211514,55,14.68,-86.92,84.86,2.95
Norman Wells,75,CA,1570211514,86,65.28,-126.83,41,4.7
Necochea,98,AR,1570211515,85,-38.55,-58.74,52,11.01
Inuvik,75,CA,1570211515,74,68.36,-133.71,33.8,3.36
Fairbanks,90,US,1570211516,93,64.84,-147.72,36,5.82
Dunedin,100,NZ,1570211267,79,-45.87,170.5,44.01,24
Fortuna,1,US,1570211516,76,40.6,-124.16,62.01,7.45
Sorland,75,NO,1570211517,60,67.67,12.69,42.8,2.24
Saltpond,89,GH,1570211517,90,5.2,-1.06,76.76,15.37
Talnakh,75,RU,1570211517,91,69.49,88.39,32,17.9
Hargeysa,90,SO,1570211518,73,9.56,44.06,70.1,10.6
Iqaluit,75,CA,1570211518,69,63.75,-68.52,37.4,23.04
Lagoa,0,PT,1570211519,73,37.14,-8.45,75,4.7
Koslan,100,RU,1570211519,95,63.46,48.9,38.24,13.24
Ostrovnoy,97,RU,1570211520,84,68.05,39.51,34.46,17.13
Nikolskoye,75,RU,1570211520,80,59.7,30.79,36,6.71
Praia da Vitoria,40,PT,1570211520,78,38.73,-27.07,75.2,18.37
Saint George,75,GR,1570211521,100,39.45,22.34,62.6,5.82
Mount Gambier,75,AU,1570211521,93,-37.83,140.78,46.4,10.29
Itamaraca,75,BR,1570211522,62,-7.75,-34.83,84.2,19.46
Kedgwick,100,CA,1570211522,68,47.65,-67.35,38.96,12.46
Mareeba,40,AU,1570211523,77,-16.99,145.42,69.8,10.29
Oranjemund,0,ZA,1570211523,88,-28.55,16.43,57.5,17
Havre-Saint-Pierre,75,CA,1570211523,40,50.23,-63.6,50,17.22
Port Lincoln,100,AU,1570211524,86,-34.72,135.86,59.48,23.29
Altea,0,ES,1570211524,53,38.6,-0.05,77,3.36
Severodvinsk,90,RU,1570211525,97,64.56,39.82,32,11.18
Luena,82,AO,1570211526,49,-11.78,19.91,69.92,2.39
Cortez,1,US,1570211510,40,37.35,-108.58,69.8,13.87
Bandarbeyla,0,SO,1570211526,75,9.49,50.81,78.02,11.83
Tasiilaq,90,GL,1570211527,75,65.61,-37.64,42.8,38.03
San Felipe,0,CL,1570211528,56,-32.75,-70.73,66.99,1.01
Mount Isa,98,AU,1570211528,22,-20.73,139.49,69.8,5.82
Sumbe,75,AO,1570211529,88,-11.2,13.84,73.4,6.93
Jabinyanah,20,TN,1570211529,41,35.03,10.91,78.8,6.93
Belaya Gora,100,RU,1570211530,59,68.54,146.19,25.64,16.6
Tuktoyaktuk,90,CA,1570211530,78,69.44,-133.03,32,10.29
Parana,40,BR,1570211532,66,-7.52,-72.89,86,4.7
Bambous Virieux,75,MU,1570211533,88,-20.34,57.76,75.2,5.82
Caravelas,0,BR,1570211533,76,-17.73,-39.27,77.48,15.05
Dikson,100,RU,1570211534,87,73.51,80.55,26,28.63
Aire-sur-la-Lys,100,FR,1570211534,87,50.64,2.4,57.99,10.29
Cockburn Town,40,TC,1570211535,79,21.46,-71.14,87.8,6.93
Kahului,20,US,1570211535,65,20.89,-156.47,78.8,12.75
Sao Joao da Barra,20,BR,1570211536,58,-21.64,-41.05,82.4,27.51
Vila Franca do Campo,20,PT,1570211537,83,37.72,-25.43,78.01,18.34
Chapais,90,CA,1570211537,65,49.78,-74.86,41,10.29
Liverpool,40,GB,1570211523,87,53.41,-2.98,59,14.99
Zhigansk,11,RU,1570211538,68,66.77,123.37,18.98,3.04
Ormara,30,PK,1570211539,77,25.21,64.64,80.36,3.49
San Jose de Gracia,8,MX,1570211539,49,20.67,-102.58,77.84,3.78
Alice Springs,0,AU,1570211540,25,-23.7,133.88,66.2,8.05
Linxia,19,CN,1570211540,85,35.6,103.21,44.36,1.19
Oss,75,NL,1570211541,93,51.77,5.51,57,11.41
Guanica,75,PR,1570211541,74,17.97,-66.91,91,6.93
Berlevag,75,NO,1570211541,84,70.86,29.09,37.4,9.17
Hithadhoo,66,MV,1570211392,74,-0.6,73.08,81.8,10.45
Lorengau,96,PG,1570211543,84,-2.02,147.27,77.66,3.74
Pevek,100,RU,1570211544,72,69.7,170.27,31.22,21.9
Jorochito,75,BO,1570211544,46,-18.06,-63.43,91.4,16.11
Bredasdorp,6,ZA,1570211545,48,-34.53,20.04,62.6,11.41
Salinopolis,17,BR,1570211545,78,-0.61,-47.36,80,15.52
Guymon,90,US,1570211546,100,36.68,-101.48,62.6,12.75
Mahebourg,75,MU,1570211546,88,-20.41,57.7,75.2,5.82
Kaeo,0,NZ,1570211546,100,-35.1,173.78,46.99,2.73
San Pedro,100,AR,1570211547,85,-33.68,-59.66,60.01,1.99
Kavieng,100,PG,1570211548,71,-2.57,150.8,81.98,1.43
Rio Gallegos,20,AR,1570211548,27,-51.62,-69.22,51.8,29.97
Kiruna,1,SE,1570211549,68,67.86,20.23,28.4,4.7
Katsuura,20,JP,1570211549,73,33.93,134.5,69.8,5.82
Apollonia,20,GR,1570211550,68,40.64,23.49,64.4,11.41
Goundam,21,ML,1570211550,12,16.42,-3.66,101.78,3.98
Deputatskiy,100,RU,1570211551,88,69.3,139.9,15.56,21.43
Hamilton,90,CA,1570211490,66,43.26,-79.87,53.01,11.41
Aswan,20,EG,1570211551,18,24.09,32.9,92.78,9.8
Upernavik,100,GL,1570211552,83,72.79,-56.15,36.98,4.81
Tiksi,100,RU,1570211552,89,71.64,128.87,23.48,26.46
Cherskiy,100,RU,1570211553,95,68.75,161.3,20.24,7.56
Buritizeiro,25,BR,1570211553,24,-17.37,-44.96,93.14,5.48
Ischia,90,IT,1570211553,86,46.03,11.25,61,9.17
Tomatlan,13,MX,1570211555,74,19.93,-105.25,82.52,5.3
Grindavik,90,IS,1570211556,70,63.84,-22.43,50,48.32
Axim,98,GH,1570211556,88,4.87,-2.24,77.12,13.85
Cachoeira do Sul,99,BR,1570211556,91,-30.05,-52.89,72.08,3.65
Tyrma,0,RU,1570211557,67,50.04,132.17,28.52,2.01
Itarema,49,BR,1570211557,47,-2.92,-39.92,90.26,15.82
Klaksvik,40,FO,1570211557,70,62.23,-6.59,46.4,18.34
Olinda,75,AU,1570211558,93,-37.84,145.39,48.99,6.93
Surt,0,LY,1570211559,69,31.21,16.59,75.5,15.21
Broome,40,GB,1570211559,87,52.47,1.45,57.99,5.82
Caranavi,100,BO,1570211560,72,-15.83,-67.57,61.82,3.29
Lompoc,1,US,1570211347,93,34.64,-120.46,72,3.36
Shache,88,CN,1570211561,46,38.42,77.24,60.74,16.58
Sinnar,97,IN,1570211561,88,19.85,74,72.44,2.04
Najran,0,SA,1570211561,21,17.54,44.22,84.2,5.82
East London,40,ZA,1570211562,88,-33.02,27.91,62.6,4.7
Storforshei,75,NO,1570211562,51,66.4,14.52,35.6,2.24
Luderitz,0,NA,1570211563,72,-26.65,15.16,62.6,19.46
Lahij,36,YE,1570211564,65,13.06,44.88,82.7,8.61
Rawson,0,AR,1570211564,18,-43.3,-65.11,63.44,19.17
Aviles,75,ES,1570211565,82,43.55,-5.92,64.99,2.24
Khatanga,100,RU,1570211565,76,71.98,102.47,24.38,15.5
Moengo,8,SR,1570211566,32,5.62,-54.4,97.1,5.28
Ihosy,22,MG,1570211566,90,-22.4,46.13,64.88,9.33
Pangody,87,RU,1570211566,82,65.85,74.49,33.74,16.22
Nanpara,39,IN,1570211567,81,27.87,81.5,75.86,4.14
Ilulissat,20,GL,1570211567,34,69.22,-51.1,48.2,11.41
Bundaberg,0,AU,1570211568,93,-24.87,152.35,57.99,4.7
Syracuse,90,US,1570211307,70,43.05,-76.15,50,5.82
Illela,49,NG,1570211568,41,12.25,4.3,89.54,3.87
Arraial do Cabo,0,BR,1570211569,69,-22.97,-42.02,82.4,32.21
Sidrolandia,75,BR,1570211570,51,-20.93,-54.96,86,12.75
Slave Lake,75,CA,1570211570,81,55.28,-114.77,42.8,4.7
Conroe,1,US,1570211571,70,30.31,-95.46,93,5.44
Ugoofaaru,98,MV,1570211571,71,5.67,73,82.34,3.78
Nagato,0,JP,1570211571,77,34.35,131.14,69.8,3.36
Beringovskiy,0,RU,1570211572,57,63.05,179.32,24.38,14.97
Hobyo,0,SO,1570211572,83,5.35,48.53,78.92,13.85
Hofn,75,IS,1570211573,70,64.25,-15.21,46.4,10.29
Tikapur,42,NP,1570211574,86,28.53,81.12,73.7,1.88
Beberibe,20,BR,1570211575,58,-4.18,-38.13,86,17.22
Norwalk,20,US,1570211421,45,33.91,-118.08,73,5.88
Diamantino,43,BR,1570211575,30,-14.4,-56.44,97.82,3.2
Christchurch,93,NZ,1570211576,44,-43.53,172.64,59,19.46
Ngunguru,0,NZ,1570211576,92,-35.62,174.5,46.99,3
Macusani,100,PE,1570211576,75,-14.07,-70.43,41.12,8.66
Murupara,98,NZ,1570211577,95,-38.46,176.71,48,6.06
Leningradskiy,100,RU,1570211578,97,69.38,178.42,33.74,35.03
Turukhansk,97,RU,1570211578,80,65.8,87.96,36.08,9.73
Maltahohe,0,NA,1570211579,8,-24.83,16.98,66.14,8.37
Acaponeta,65,MX,1570211579,53,22.49,-105.36,94.4,1.5
Albemarle,1,US,1570211580,36,35.35,-80.2,98.01,4.7
Faanui,25,PF,1570211580,83,-16.48,-151.75,78.38,13.94
Tierranueva,43,MX,1570211444,45,21.68,-100.57,69.02,9.64
Wagga Wagga,75,AU,1570211582,63,-35.12,147.37,62.01,8.05
Wilmington,40,US,1570211285,45,39.75,-75.55,72,14.99
Orange,1,US,1570211398,45,33.79,-117.85,73.99,3.91
Baykit,100,RU,1570211583,97,61.68,96.39,37.34,9.01
Port Blair,1,IN,1570211583,66,11.67,92.75,82.34,3.42
Henties Bay,33,NA,1570211584,87,-22.12,14.28,63,5.99
College,90,US,1570211584,93,64.86,-147.8,37.4,5.82
Vardo,75,US,1570211585,37,39.62,-77.74,75.99,14.99
Arcachon,90,FR,1570211586,72,44.65,-1.18,64.4,8.05
Verkhoyansk,15,RU,1570211586,58,67.55,133.39,15.56,3.09
Mandalgovi,6,MN,1570211586,41,45.76,106.27,32.3,4.52
Coolum Beach,0,AU,1570211587,88,-26.53,153.09,57.99,2.82
Bela,50,PK,1570211587,57,26.23,66.31,78.92,5.19
Aksarka,12,RU,1570211588,84,66.56,67.8,31.94,12.3
Auki,61,NG,1570211589,77,12.18,6.51,77.48,6.91
Neuquen,0,AR,1570211589,17,-38.95,-68.06,57.2,21.92
Parrsboro,75,CA,1570211590,75,45.41,-64.33,48,9.17
Gorontalo,79,ID,1570211591,93,0.54,123.06,72.08,2.57
Tura,100,RU,1570211592,94,64.27,100.22,38.24,9.66
Meadow Lake,75,CA,1570211592,75,54.13,-108.44,46.4,11.41
Erzurum,0,TR,1570211593,42,39.91,41.27,55.4,3.36
Sovetskaya Gavan,100,RU,1570211593,87,48.97,140.29,33.56,3.15
Salinas,0,US,1570211593,58,36.67,-121.66,66,1.72
Clyde River,20,CA,1570211594,74,70.47,-68.59,35.6,5.82
Teguldet,97,RU,1570211594,86,57.31,88.17,44.36,11.41
Haines Junction,13,CA,1570211595,67,60.75,-137.51,33.92,4.7
Pangnirtung,20,CA,1570211595,69,66.15,-65.72,39.2,10.29
Bonthe,100,SL,1570211596,90,7.53,-12.5,76.22,2.98
Porto Novo,20,BR,1570211596,35,-23.68,-45.44,86,4.7
Sistranda,0,NO,1570211597,69,63.73,8.83,37.99,9.17
Kungsbacka,0,SE,1570211597,86,57.49,12.08,41,6.93
Naifaru,100,MV,1570211598,71,5.44,73.37,82.34,6.71
Ubinskoye,100,RU,1570211598,91,55.31,79.68,46.34,8.3
Chokurdakh,100,RU,1570211598,95,70.62,147.9,27.08,16.53
Liwale,88,TZ,1570211599,75,-9.8,37.92,71.54,4.41
Chinandega,40,NI,1570211599,70,12.63,-87.13,87.8,4.7
Tilichiki,47,RU,1570211599,65,60.47,166.1,25.82,2.68
Zhaotong,100,CN,1570211600,97,27.34,103.71,54.98,3.71
Guozhen,57,CN,1570211601,52,29.3,113.14,75.32,17.78
Deep River,75,CA,1570211601,52,46.1,-77.49,46.99,8.37
Tabas,0,IR,1570211601,12,33.6,56.92,78.8,6.93
Santo Antonio do Ica,100,BR,1570211602,72,-3.1,-67.94,85.22,2.37
Saint Augustine,75,TT,1570211602,59,10.65,-61.4,91.99,13.87
Saint Anthony,90,US,1570211602,70,43.97,-111.68,45,27.51
Chenzhou,0,CN,1570211603,53,25.81,113.03,74.06,2.71
Bumba,87,CD,1570211603,95,2.18,22.47,72.08,2.75
Saint-Georges,77,CA,1570211604,64,46.12,-70.67,43,1.01
Lata,37,IN,1570211604,82,30.78,78.62,31.04,4.32
Fukue,20,JP,1570211605,73,35.03,136.69,73.4,27.51
Umm Lajj,86,SA,1570211605,69,25.02,37.27,85.4,7.81
Bogo,97,CM,1570211605,77,10.74,14.61,79.28,3.98
Aykhal,90,RU,1570211606,79,65.95,111.51,24.8,4.47
Vao,100,EE,1570211606,83,59.1,26.19,37.7,8.1
Moron,100,HT,1570211606,68,18.56,-74.26,84.86,2.17
Greeneville,1,US,1570211607,51,36.16,-82.83,88,3.15
Aklavik,75,CA,1570211607,70,68.22,-135.01,33.8,3.36
Flinders,90,AU,1570211608,100,-34.58,150.85,61,9.17
Yenagoa,88,NG,1570211608,89,4.92,6.26,76.22,5.44
Catuday,47,PH,1570211608,69,16.29,119.81,83.06,6.2
Harper,75,US,1570211609,42,30.3,-99.24,86,8.05
Petropavlovsk-Kamchatskiy,100,RU,1570211609,74,53.05,158.65,33.8,8.95
Naze,97,NG,1570211610,91,5.43,7.07,75.14,6.91
Diffa,77,NE,1570211610,33,13.32,12.61,93.14,10.83
Monrovia,75,LR,1570211611,88,6.33,-10.8,78.8,9.17
Pringsewu,100,ID,1570211611,86,-5.36,104.98,71,3.56
Dovbysh,90,UA,1570211612,73,50.37,27.99,45.8,3.74
Bordesti,90,RO,1570211612,81,45.55,27.05,48.2,16.11
Sibu,75,MY,1570211613,100,2.29,111.83,73.4,3.36
Batsfjord,40,NO,1570211614,74,70.63,29.72,33.8,3.36
Duki,1,PK,1570211614,42,30.15,68.58,71.18,8.61
Touros,40,BR,1570211615,51,-5.2,-35.46,84.2,17.22
Chodavaram,94,IN,1570211615,90,17.44,81.78,74.42,0.58
Quatre Cocos,75,MU,1570211616,88,-20.21,57.76,75.2,5.82
Nizhneangarsk,94,RU,1570211616,91,55.78,109.57,27.26,5.84
Oriximina,100,BR,1570211616,41,-1.77,-55.87,95.12,5.64
Olsztyn,0,PL,1570211599,93,53.78,20.48,44.6,2.24
West Freehold,40,US,1570211618,45,40.24,-74.3,69.01,12.75
Tessalit,0,ML,1570211618,7,20.2,1.01,96.56,9.04
Ust-Kuyga,100,RU,1570211618,83,70,135.55,19.88,4.72
Bowral,90,AU,1570211619,100,-34.48,150.42,57.99,9.17
Rorvik,0,NO,1570211619,79,64.86,11.24,32,5.82
Zhangye,2,CN,1570211619,62,38.94,100.46,50.84,2.04
Athabasca,100,CA,1570211620,82,54.72,-113.29,41.66,5.08
Ust-Nera,9,RU,1570211620,91,64.57,143.24,2.24,3.47
Carutapera,11,BR,1570211620,61,-1.2,-46.02,84.86,9.37
Garden City,75,US,1570211447,75,43.62,-116.24,48.2,13.87
Jaisalmer,2,IN,1570211621,32,26.91,70.91,89.9,6.53
Bathsheba,75,BB,1570211622,78,13.22,-59.52,80.6,12.75
Peterhead,0,AU,1570211622,68,-34.83,138.5,69.01,4.7
Mahajanga,20,MG,1570211623,69,-15.72,46.32,82.4,5.82
Katherine,56,AU,1570211623,32,-14.47,132.26,80.6,8.05
Hirado,0,JP,1570211623,88,33.32,129.49,71.6,3.36
Bosaso,0,SO,1570211624,76,11.28,49.18,84.5,9.93
Valparaiso,90,US,1570211509,62,41.47,-87.06,62.01,9.17
Waingapu,0,ID,1570211625,70,-9.65,120.26,68.84,6.17
Sibolga,54,ID,1570211625,82,1.74,98.78,80.9,13.67
Raudeberg,20,NO,1570211625,49,61.99,5.14,48.2,8.05
Avallon,100,FR,1570211626,79,47.49,3.91,55.34,9.19
Isangel,80,VU,1570211626,73,-19.55,169.27,71.18,13.4
Ftelia,75,GR,1570211626,93,41.08,24.19,66,4.7
Marystown,100,CA,1570211627,56,47.17,-55.16,46.7,11.1
Namatanai,94,PG,1570211627,78,-3.66,152.44,78.02,6.13
Sinnamary,0,GF,1570211628,74,5.38,-52.96,82.34,13.27
Greeley,1,US,1570211628,50,40.42,-104.71,62.01,3.36
Alyangula,17,AU,1570211628,93,-13.85,136.42,64.4,7.38
Katobu,12,ID,1570211629,84,-4.94,122.53,71.72,3.18
Sisimiut,0,GL,1570211627,72,66.94,-53.67,40.94,8.43
Coihaique,40,CL,1570211629,46,-45.58,-72.07,51.8,9.17
Mayo,90,CA,1570211630,100,63.59,-135.9,26.6,5.82
Alofi,99,NU,1570211631,88,-19.06,-169.92,71.6,10.29
Timmins,75,CA,1570211631,70,48.48,-81.33,42.8,4.7
Isla del Bosque,40,MX,1570211632,70,22.73,-105.85,87.8,4.99
Benguela,87,AO,1570211632,82,-12.58,13.4,72.08,7.52
Okhotsk,0,RU,1570211633,58,59.36,143.24,22.04,11.39
Filingue,90,NE,1570211633,23,14.35,3.32,96.92,2.8
Tuy Hoa,49,VN,1570211634,97,13.08,109.3,71.18,0.69
Comodoro Rivadavia,0,AR,1570211634,46,-45.87,-67.48,66.2,13.87
Rumonge,0,BI,1570211634,61,-3.97,29.44,68.84,3.33
Constitucion,75,MX,1570211635,52,23.99,-104.67,71.01,5.82
Sabinas,19,MX,1570211635,60,27.85,-101.13,81.08,5.95
Santa Isabel do Rio Negro,97,BR,1570211636,47,-0.41,-65.02,92.06,1.43
Ayan,16,IR,1570211636,64,38.23,44.7,51.56,2.39
Ranong,29,TH,1570211636,69,9.96,98.62,81.62,3.29
Saint-Denis,75,FR,1570211637,77,48.94,2.36,59,13.87
Kondinskoye,100,RU,1570211637,98,59.65,67.41,46.52,5.1
Wladyslawowo,75,PL,1570211637,87,54.79,18.4,48,6.93
Dalby,0,AU,1570211638,62,-27.18,151.26,61,10.2
Kupang,0,ID,1570211638,77,-10.16,123.6,75.68,9.8
Kamuli,38,UG,1570211638,80,0.94,33.12,68.84,2.06
Bronnoysund,0,NO,1570211639,69,65.46,12.2,35.6,5.82
Hope,20,US,1570211639,61,33.67,-93.59,80.6,10.29
Edd,0,ER,1570211640,49,13.93,41.69,91.52,9.71
Energetik,18,RU,1570211640,46,51.74,58.8,50.84,4.7
Mayaky,100,UA,1570211640,80,47.44,29.56,49.4,5.79
Cayenne,75,GF,1570211641,52,4.94,-52.33,89.6,10.29
Brownsville,75,US,1570211641,70,25.91,-97.49,90,13.87
Stephenville,75,CA,1570211641,61,48.55,-58.59,46.4,6.93
Weston,75,US,1570211642,54,41.2,-73.38,64.4,19.46
Cabedelo,75,BR,1570211642,61,-6.97,-34.84,82.4,19.46
Vanimo,19,PG,1570211643,77,-2.67,141.3,79.82,9.62
